protect_pct,n_protect,seqlen,dist,seed,top1_attn_pos_agree_frac,K_bitidentical_AB,logit_max_abs_delta
1,1,2048,high_dynamic_range,0,1.0,False,1.5799560546875
1,1,2048,high_dynamic_range,1,1.0,False,0.02227783203125
1,1,2048,high_dynamic_range,2,1.0,False,0.2279052734375
1,1,2048,near_zero,0,1.0,False,1.5538535080850124e-06
1,1,2048,near_zero,1,1.0,False,1.4330726116895676e-06
1,1,2048,near_zero,2,1.0,False,2.4854671210050583e-06
2,3,128,normal,0,1.0,False,0.004062294960021973
2,3,128,normal,1,1.0,False,0.004343509674072266
2,3,128,normal,2,1.0,False,0.002378314733505249
2,3,128,heavy_tailed,0,1.0,False,0.00592350959777832
2,3,128,heavy_tailed,1,1.0,False,0.007908821105957031
2,3,128,heavy_tailed,2,1.0,False,0.004171252250671387
2,3,128,outliers,0,1.0,False,0.004062294960021973
2,3,128,outliers,1,1.0,False,0.05973243713378906
2,3,128,outliers,2,1.0,False,0.0023784637451171875
2,3,128,asymmetric,0,1.0,False,0.008156776428222656
2,3,128,asymmetric,1,1.0,False,0.008664131164550781
2,3,128,asymmetric,2,1.0,False,0.004947006702423096
2,3,128,high_dynamic_range,0,1.0,False,0.4486207962036133
2,3,128,high_dynamic_range,1,1.0,False,0.042144775390625
2,3,128,high_dynamic_range,2,1.0,False,2.1688232421875
2,3,128,near_zero,0,1.0,False,3.627268597483635e-06
2,3,128,near_zero,1,1.0,False,4.505738615989685e-06
2,3,128,near_zero,2,1.0,False,2.3065522327669896e-06
2,3,512,normal,0,1.0,False,0.0036731958389282227
2,3,512,normal,1,1.0,False,0.004008334130048752
2,3,512,normal,2,1.0,False,0.002723023295402527
2,3,512,heavy_tailed,0,1.0,False,0.0071993619203567505
2,3,512,heavy_tailed,1,1.0,False,0.007200062274932861
2,3,512,heavy_tailed,2,1.0,False,0.005449771881103516
2,3,512,outliers,0,1.0,False,0.0036733150482177734
2,3,512,outliers,1,1.0,False,0.02416515350341797
2,3,512,outliers,2,1.0,False,0.002723217010498047
2,3,512,asymmetric,0,1.0,False,0.008658885955810547
2,3,512,asymmetric,1,1.0,False,0.006020605564117432
2,3,512,asymmetric,2,1.0,False,0.005081653594970703
2,3,512,high_dynamic_range,0,1.0,False,0.960693359375
2,3,512,high_dynamic_range,1,1.0,False,0.06252288818359375
2,3,512,high_dynamic_range,2,1.0,False,1.846487045288086
2,3,512,near_zero,0,1.0,False,3.6588171496987343e-06
2,3,512,near_zero,1,1.0,False,3.933964762836695e-06
2,3,512,near_zero,2,1.0,False,2.7513960958458483e-06
2,3,2048,normal,0,1.0,False,0.005510807037353516
2,3,2048,normal,1,1.0,False,0.0030736923217773438
2,3,2048,normal,2,1.0,False,0.004458814859390259
2,3,2048,heavy_tailed,0,1.0,False,0.011430390179157257
2,3,2048,heavy_tailed,1,1.0,False,0.00681304931640625
2,3,2048,heavy_tailed,2,1.0,False,0.008695006370544434
2,3,2048,outliers,0,1.0,False,0.0055103302001953125
2,3,2048,outliers,1,1.0,False,0.047679901123046875
2,3,2048,outliers,2,1.0,False,0.00445866584777832
2,3,2048,asymmetric,0,1.0,False,0.009969472885131836
2,3,2048,asymmetric,1,1.0,False,0.005615949630737305
2,3,2048,asymmetric,2,1.0,False,0.007725238800048828
2,3,2048,high_dynamic_range,0,1.0,False,1.6079559326171875
2,3,2048,high_dynamic_range,1,1.0,False,0.1381378173828125
2,3,2048,high_dynamic_range,2,1.0,False,0.85498046875
2,3,2048,near_zero,0,1.0,False,5.381647497415543e-06
2,3,2048,near_zero,1,1.0,False,3.1882664188742638e-06
2,3,2048,near_zero,2,1.0,False,4.317960701882839e-06
4,5,128,normal,0,1.0,False,0.004142463207244873
4,5,128,normal,1,1.0,False,0.00504612922668457
4,5,128,normal,2,1.0,False,0.00343245267868042
4,5,128,heavy_tailed,0,1.0,False,0.006624132394790649
4,5,128,heavy_tailed,1,1.0,False,0.009957432746887207
4,5,128,heavy_tailed,2,1.0,False,0.006760656833648682
4,5,128,outliers,0,1.0,False,0.018986940383911133
4,5,128,outliers,1,1.0,False,0.05790901184082031
4,5,128,outliers,2,1.0,False,0.014799237251281738
4,5,128,asymmetric,0,1.0,False,0.008156776428222656
4,5,128,asymmetric,1,1.0,False,0.008685111999511719
4,5,128,asymmetric,2,1.0,False,0.00561070442199707
4,5,128,high_dynamic_range,0,1.0,False,0.5570297241210938
4,5,128,high_dynamic_range,1,1.0,False,0.810943603515625
4,5,128,high_dynamic_range,2,1.0,False,2.950286865234375
4,5,128,near_zero,0,1.0,False,4.200206603854895e-06
4,5,128,near_zero,1,1.0,False,4.401488695293665e-06
4,5,128,near_zero,2,1.0,False,4.027984687127173e-06
4,5,512,normal,0,1.0,False,0.0041623711585998535
4,5,512,normal,1,1.0,False,0.0044918060302734375
4,5,512,normal,2,1.0,False,0.0053312331438064575
4,5,512,heavy_tailed,0,1.0,False,0.008701503276824951
4,5,512,heavy_tailed,1,1.0,False,0.009061276912689209
4,5,512,heavy_tailed,2,1.0,False,0.011204838752746582
4,5,512,outliers,0,1.0,False,0.04017829895019531
4,5,512,outliers,1,1.0,False,0.024140357971191406
4,5,512,outliers,2,1.0,False,0.08481597900390625
4,5,512,asymmetric,0,1.0,False,0.009926319122314453
4,5,512,asymmetric,1,1.0,False,0.006557345390319824
4,5,512,asymmetric,2,1.0,False,0.008852958679199219
4,5,512,high_dynamic_range,0,1.0,False,1.00146484375
4,5,512,high_dynamic_range,1,1.0,False,1.160919189453125
4,5,512,high_dynamic_range,2,1.0,False,3.25421142578125
4,5,512,near_zero,0,1.0,False,4.210043698549271e-06
4,5,512,near_zero,1,1.0,False,4.1807652451097965e-06
4,5,512,near_zero,2,1.0,False,5.027628503739834e-06
4,5,2048,normal,0,1.0,False,0.007056295871734619
4,5,2048,normal,1,1.0,False,0.007485151290893555
4,5,2048,normal,2,1.0,False,0.005219459533691406
4,5,2048,heavy_tailed,0,0.75,False,0.016577839851379395
4,5,2048,heavy_tailed,1,1.0,False,0.016762495040893555
4,5,2048,heavy_tailed,2,1.0,False,0.012003064155578613
4,5,2048,outliers,0,1.0,False,0.07012605667114258
4,5,2048,outliers,1,1.0,False,0.04805755615234375
4,5,2048,outliers,2,1.0,False,0.005219459533691406
4,5,2048,asymmetric,0,1.0,False,0.010634422302246094
4,5,2048,asymmetric,1,1.0,False,0.010800376534461975
4,5,2048,asymmetric,2,1.0,False,0.00849151611328125
4,5,2048,high_dynamic_range,0,1.0,False,1.7970600128173828
4,5,2048,high_dynamic_range,1,1.0,False,2.05487060546875
4,5,2048,high_dynamic_range,2,1.0,False,2.4793243408203125
4,5,2048,near_zero,0,1.0,False,7.041147910058498e-06
4,5,2048,near_zero,1,1.0,False,6.705959094688296e-06
4,5,2048,near_zero,2,1.0,False,5.137408152222633e-06
8,10,128,normal,0,1.0,False,0.0070691704750061035
8,10,128,normal,1,1.0,False,0.0085601806640625
8,10,128,normal,2,1.0,False,0.005665481090545654
8,10,128,heavy_tailed,0,1.0,False,0.011131994426250458
8,10,128,heavy_tailed,1,1.0,False,0.01942276954650879
8,10,128,heavy_tailed,2,1.0,False,0.010750442743301392
8,10,128,outliers,0,1.0,False,0.03693199157714844
8,10,128,outliers,1,1.0,False,0.05609893798828125
8,10,128,outliers,2,1.0,False,0.01731085777282715
8,10,128,asymmetric,0,1.0,False,0.011598587036132812
8,10,128,asymmetric,1,1.0,False,0.012209892272949219
8,10,128,asymmetric,2,1.0,False,0.008480548858642578
8,10,128,high_dynamic_range,0,1.0,False,0.593475341796875
8,10,128,high_dynamic_range,1,1.0,False,1.8822059631347656
8,10,128,high_dynamic_range,2,1.0,False,2.9705810546875
8,10,128,near_zero,0,1.0,False,6.07507536187768e-06
8,10,128,near_zero,1,1.0,False,6.329268217086792e-06
8,10,128,near_zero,2,1.0,False,5.700625479221344e-06
8,10,512,normal,0,1.0,False,0.008046358823776245
8,10,512,normal,1,1.0,False,0.006305672228336334
8,10,512,normal,2,1.0,False,0.008322492241859436
8,10,512,heavy_tailed,0,1.0,False,0.015990853309631348
8,10,512,heavy_tailed,1,1.0,False,0.013495087623596191
8,10,512,heavy_tailed,2,1.0,False,0.018590450286865234
8,10,512,outliers,0,1.0,False,0.06994295120239258
8,10,512,outliers,1,1.0,False,0.02621173858642578
8,10,512,outliers,2,1.0,False,0.08644485473632812
8,10,512,asymmetric,0,1.0,False,0.015294075012207031
8,10,512,asymmetric,1,1.0,False,0.009173870086669922
8,10,512,asymmetric,2,1.0,False,0.010332107543945312
8,10,512,high_dynamic_range,0,1.0,False,1.001556396484375
8,10,512,high_dynamic_range,1,1.0,False,1.36187744140625
8,10,512,high_dynamic_range,2,1.0,False,3.352447509765625
8,10,512,near_zero,0,1.0,False,6.179907359182835e-06
8,10,512,near_zero,1,1.0,False,7.174443453550339e-06
8,10,512,near_zero,2,1.0,False,7.421462214551866e-06
