protect_pct,n_protect,seqlen,dist,seed,L1_recon_max_abs,L1_recon_rmse,L1_recon_cosine,L1_recon_p999,L1_nan_inf,L2_K_rel_l2,L2_K_cosine,L3_logit_max_abs,L3_logit_rel_l2,L3_top1_agree,L3_top5_overlap,L4_kl,L4_jsd,L4_tvd,L5_out_rel_l2,L5_out_cosine
0,0,2048,normal,0,0.0,0.0,1.0,0.0,0,0.0,0.9999592304229736,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,2048,normal,1,0.0,0.0,1.0,0.0,0,0.0,0.9999632835388184,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9999999403953552
0,0,2048,normal,2,0.0,0.0,1.0,0.0,0,0.0,0.9999645948410034,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,2048,heavy_tailed,0,0.0,0.0,1.0,0.0,0,0.0,0.9999750256538391,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0000001192092896
0,0,2048,heavy_tailed,1,0.0,0.0,1.0,0.0,0,0.0,0.9999747276306152,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,2048,heavy_tailed,2,0.0,0.0,1.0,0.0,0,0.0,0.9999720454216003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,2048,outliers,0,0.0,0.0,1.0,0.0,0,0.0,1.0001466274261475,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0000001192092896
0,0,2048,outliers,1,0.0,0.0,1.0,0.0,0,0.0,1.000137448310852,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9999999403953552
0,0,2048,outliers,2,0.0,0.0,1.0,0.0,0,0.0,1.0001482963562012,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9999998211860657
0,0,2048,asymmetric,0,0.0,0.0,1.0,0.0,0,0.0,0.9999951124191284,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,2048,asymmetric,1,0.0,0.0,1.0,0.0,0,0.0,0.9999821782112122,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,2048,asymmetric,2,0.0,0.0,1.0,0.0,0,0.0,0.9999849796295166,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9999998211860657
0,0,2048,high_dynamic_range,0,0.0,0.0,1.0,0.0,0,0.0,1.0000686645507812,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,2048,high_dynamic_range,1,0.0,0.0,1.0,0.0,0,0.0,1.0000687837600708,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,2048,high_dynamic_range,2,0.0,0.0,1.0,0.0,0,0.0,1.00007164478302,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.000000238418579
0,0,2048,near_zero,0,0.0,0.0,1.0,0.0,0,0.0,0.9999620914459229,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0000001192092896
0,0,2048,near_zero,1,0.0,0.0,1.0,0.0,0,0.0,0.9999597072601318,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9999999403953552
0,0,2048,near_zero,2,0.0,0.0,1.0,0.0,0,0.0,0.9999598860740662,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9999997615814209
1,1,128,normal,0,0.015625,0.007361716590821743,0.999974250793457,0.015625,0,0.0006492363172583282,1.0000035762786865,0.001726388931274414,0.0006539759924635291,1.0,1.0,2.105959993059514e-07,5.743260089730029e-08,0.00023519140086136758,0.0005178948049433529,0.9999998807907104
1,1,128,normal,1,0.015625,0.006945812609046698,0.999973475933075,0.015625,0,0.0006099402671679854,1.0000046491622925,0.0018882155418395996,0.0007179253152571619,1.0,1.0,3.2778257263998967e-07,7.708865723543568e-08,0.00032460413058288395,0.0007973158499225974,0.9999996423721313
1,1,128,normal,2,0.015625,0.006753119174391031,0.9999769926071167,0.015625,0,0.0005974292289465666,1.000004529953003,0.0019097626209259033,0.0005029984749853611,1.0,1.0,8.237060455940082e-08,3.117813918152024e-08,0.00015189389523584396,0.00047373585402965546,0.9999999403953552
1,1,128,heavy_tailed,0,0.03125,0.011519137769937515,0.9999666213989258,0.03125,0,0.0007076965412124991,1.0000075101852417,0.0025787353515625,0.0006395505042746663,1.0,1.0,4.4204102778167e-07,1.0543436701482278e-07,0.0003680103400256485,0.0007328659412451088,0.9999996423721313
1,1,128,heavy_tailed,1,0.03125,0.01528825145214796,0.999946117401123,0.03125,0,0.000937321106903255,1.000007152557373,0.0037763118743896484,0.0010907971300184727,1.0,1.0,1.4696606740471907e-06,3.7378947581601096e-07,0.0007080738432705402,0.001674176543019712,0.9999985694885254
1,1,128,heavy_tailed,2,0.03125,0.013557390309870243,0.9999570846557617,0.03125,0,0.000838623964227736,1.0000081062316895,0.0038195252418518066,0.0007332292152568698,1.0,1.0,3.9034637211443624e-07,1.3010843247229786e-07,0.00029311192338354886,0.0007350379601120949,0.9999996423721313
1,1,128,outliers,0,0.015625,0.007361716590821743,0.999974250793457,0.015625,0,0.00010288507473887876,0.9999979734420776,0.0017266273498535156,9.771101758815348e-05,1.0,1.0,7.354371689416439e-08,1.6463978624869924e-08,0.00013154326006770134,0.000294580589979887,0.9999999403953552
1,1,128,outliers,1,0.5,0.0929437205195427,0.9999701976776123,0.4041900634765625,0,0.0012770754983648658,0.9999967813491821,0.05973052978515625,0.00145309092476964,1.0,1.0,4.967910172126722e-07,1.4325706843010266e-07,4.3393058149376884e-05,5.138215419719927e-05,0.9999999403953552
1,1,128,outliers,2,0.015625,0.006753119174391031,0.9999769926071167,0.015625,0,9.626633982406929e-05,0.9999978542327881,0.0019097626209259033,7.254633237607777e-05,1.0,1.0,5.230834432268239e-09,3.225134648232597e-08,5.335871537681669e-05,6.487313657999039e-05,1.0000001192092896
1,1,128,asymmetric,0,0.03125,0.009888448752462864,0.999998152256012,0.03125,0,0.00017268554074689746,0.999998927116394,0.0034532546997070312,0.00016109022544696927,1.0,1.0,2.894741726322536e-07,5.277378534174204e-08,0.00018428309704177082,0.0003519493911881,0.9999998807907104
1,1,128,asymmetric,1,0.03125,0.009963510558009148,0.9999980926513672,0.03125,0,0.00017380720237269998,0.9999986886978149,0.00377655029296875,0.000207044868147932,1.0,1.0,3.815325726463925e-07,1.1647250630630879e-07,0.0002652560651767999,0.0007738428539596498,0.9999997615814209
1,1,128,asymmetric,2,0.03125,0.010609588585793972,0.9999978542327881,0.03125,0,0.00018538167933002114,0.9999980926513672,0.003819584846496582,0.00025551507133059204,1.0,1.0,2.613853382626985e-07,5.1338766127173585e-08,0.0001631513296160847,0.00038448531995527446,1.0
1,1,128,high_dynamic_range,0,16.0,2.9972312450408936,0.9999794960021973,16.0,0,0.0013303520390763879,1.000003695487976,0.4419422149658203,0.0004610756004694849,1.0,1.0,-6.883895675713347e-09,6.643173424553117e-12,3.454143637782181e-09,1.7308831701257077e-08,1.0
1,1,128,high_dynamic_range,1,0.125,0.039363179355859756,0.9999746084213257,0.125,0,1.7123427824117243e-05,1.000004768371582,0.010406494140625,1.69478098541731e-05,1.0,1.0,9.474547368881758e-09,1.6433965299711417e-10,9.382642929267604e-08,2.913838841323013e-07,1.0
1,1,128,high_dynamic_range,2,8.0,2.608320474624634,0.9999783039093018,8.0,0,0.0011602198937907815,1.0000026226043701,0.977813720703125,0.0015660872450098395,1.0,1.0,8.892466212273575e-07,1.9475319845696504e-07,2.173762368329335e-06,5.657325345964637e-06,0.9999998807907104
1,1,128,near_zero,0,1.52587890625e-05,7.586861102026887e-06,0.9999727010726929,1.52587890625e-05,0,0.0006691556191071868,1.0000033378601074,1.6858684830367565e-06,0.0006847186014056206,1.0,1.0,-4.642869200210953e-09,4.204927073203635e-09,2.583838067948818e-07,7.149109819692967e-07,1.0
1,1,128,near_zero,1,1.52587890625e-05,6.78338165016612e-06,0.9999748468399048,1.52587890625e-05,0,0.0005955325905233622,1.0000032186508179,1.8440186977386475e-06,0.0007070103893056512,1.0,1.0,-3.720821695196719e-08,-4.65833771556845e-09,3.1496165320277214e-07,8.176059509423794e-07,0.9999999403953552
