seed,arm,final_acc,final_seq_acc,final_task_loss,steps_to_threshold,mean_step_time_s,total_train_time_s,num_params,acc_in_distribution,acc_longer_context,acc_higher_distractor,acc_two_systems
0,A,0.2607421875,0.01171875,1.624703772366047,,0.013803932555994833,34.509831389987085,235776,0.22135416666666666,0.24739583333333334,0.10546875,0.1484375
0,C,0.9970703125,0.994140625,0.0062687512654520106,250,0.01503338444559995,37.583461113999874,235776,0.9986979166666666,0.9895833333333334,0.5338541666666666,0.5234375
0,D,0.9931640625,0.986328125,0.03696835148730315,750,0.010877920128399091,27.19480032099773,235776,0.9947916666666666,0.078125,0.13932291666666666,0.17903645833333334
1,A,0.2412109375,0.0078125,1.5495814010500908,,0.012200312633999783,30.50078158499946,235776,0.24348958333333334,0.23567708333333334,0.1328125,0.15104166666666666
1,C,0.25,0.0078125,1.5171760618686676,,0.013511526965204029,33.778817413010074,235776,0.24869791666666666,0.19140625,0.12760416666666666,0.130859375
1,D,0.9853515625,0.970703125,0.0459419033722952,750,0.011421310902000369,28.55327725500092,235776,0.9895833333333334,0.07421875,0.1640625,0.16341145833333334
2,A,0.2548828125,0.00390625,1.5369209125638008,,0.012700331003198699,31.750827507996746,235776,0.2526041666666667,0.2578125,0.14322916666666666,0.14583333333333334
2,C,1.0,1.0,3.6550485447151004e-05,250,0.013117866039598993,32.794665098997484,235776,1.0,0.98828125,0.5104166666666666,0.4973958333333333
2,D,0.9921875,0.984375,0.04511145893775392,500,0.010379712760805706,25.949281902014263,235776,0.9934895833333334,0.21223958333333334,0.16276041666666666,0.205078125
