grid,family,family_params,T,beta,delta,sigma_logit,V,seed,cost_order,total_cost,max_accel_norm,gate_activations,per_source_costs,per_pair_costs,truth_label,hit,margin,rank,threshold_pass,alignment_pass,cell_pass,failure_reasons
ablation,linear_drift,"{""drift_rate"": 0.02}",0.1,200.0,0.5,3.0,1024,42,FIRST,1.007144416585575e-06,0.020000000000000004,0,"[5.035722082927875e-07, 1.007144416585575e-06, 5.035722082927875e-07]","{""1,0"": 5.035722082927875e-07, ""2,0"": 0.0, ""2,1"": 5.035722082927875e-07}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.02}",0.1,200.0,0.5,3.0,1024,43,FIRST,1.007144416585575e-06,0.02,0,"[5.035722082927875e-07, 1.007144416585575e-06, 5.035722082927875e-07]","{""1,0"": 5.035722082927875e-07, ""2,0"": 0.0, ""2,1"": 5.035722082927875e-07}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.02}",0.1,200.0,0.5,3.0,1024,44,FIRST,1.007144416585575e-06,0.020000000000000004,0,"[5.035722082927875e-07, 1.007144416585575e-06, 5.035722082927875e-07]","{""1,0"": 5.035722082927875e-07, ""2,0"": 0.0, ""2,1"": 5.035722082927875e-07}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.02}",0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,3.3708296056580084e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
ablation,linear_drift,"{""drift_rate"": 0.02}",0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,3.7186934638860566e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
ablation,linear_drift,"{""drift_rate"": 0.02}",0.1,200.0,0.5,3.0,1024,44,SECOND,0.0,3.6221277595792376e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
ablation,linear_drift,"{""drift_rate"": 0.05}",0.1,200.0,0.5,3.0,1024,42,ZEROTH,0.06548189552271971,0.19999999999999998,4,"[0.032740947761359857, 0.06548189552271971, 0.032740947761359857]","{""1,0"": 0.032740947761359857, ""2,0"": 0.0, ""2,1"": 0.032740947761359857}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.05}",0.1,200.0,0.5,3.0,1024,43,ZEROTH,0.06548189552271971,0.19999999999999998,4,"[0.032740947761359857, 0.06548189552271971, 0.032740947761359857]","{""1,0"": 0.032740947761359857, ""2,0"": 0.0, ""2,1"": 0.032740947761359857}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.05}",0.1,200.0,0.5,3.0,1024,44,ZEROTH,0.06548189552271982,0.2,4,"[0.03274094776135991, 0.06548189552271982, 0.03274094776135991]","{""1,0"": 0.03274094776135991, ""2,0"": 0.0, ""2,1"": 0.03274094776135991}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.05}",0.1,200.0,0.5,3.0,1024,42,FIRST,0.00498756211208895,0.05000000000000001,4,"[0.002493781056044475, 0.00498756211208895, 0.002493781056044475]","{""1,0"": 0.002493781056044475, ""2,0"": 0.0, ""2,1"": 0.002493781056044475}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
